"Date.Added","Category.1","Category.2","Sub.Category.1","Sub.Category.2","Role","Real.Name","Sentiment","Hashtags","Comments","Tweet.example.text","Tweet.example.link"
NA,"Political Actors",NA,"SPD",NA,"governor rheinland-pfalz","Malu Dreyer",NA,"#dreyer",NA,NA,NA
NA,"Political Actors",NA,"FDP",NA,"leader, candidate, parliamentary group","Christian Lindner",NA,"#christianlindner",NA,NA,NA
NA,"Political Actors",NA,"FDP",NA,"leader, candidate, parliamentary group","Christian Lindner",NA,"#lindner",NA,NA,NA
NA,"Political Actors",NA,"FDP",NA,"secretary general","Volker Wissing",NA,"#volkerwissing",NA,NA,NA
NA,"Political Actors",NA,"FDP",NA,"secretary general","Volker Wissing",NA,"#wissing",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock",NA,"#annalenabaerbock",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock",NA,"#baerbock",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","positive","#baerbockforkanzlerin",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","positive","#baerbockzug",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerplag",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerbockplag",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerplug",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerbockfail",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerbockfails",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerbockmist",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerbockverhindern",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerbockgate",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#verbaerbockt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader","Robert Habeck",NA,"#roberthabeck",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader","Robert Habeck",NA,"#habeck",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#katringöring-eckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#katringöringeckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#katringoering-eckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#katringoeringeckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#göring-eckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#goering-eckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#göringeckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#goeringeckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Anton Hofreiter",NA,"#antonhofreiter",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Anton Hofreiter",NA,"#hofreiter",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"secretary general","Michael Kellner",NA,"#michaelkellner",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"governor baden-württemberg","Winfried Kretschmann",NA,"#winfriedkretschmann",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"governor baden-württemberg","Winfried Kretschmann",NA,"#kretschmann",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"leader, candidate","Tino Chrupalla",NA,"#tinochrupalla",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"leader, candidate","Tino Chrupalla",NA,"#chrupalla",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"candidate, parliamentary group","Alice Weidel",NA,"#aliceweidel",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"candidate, parliamentary group","Alice Weidel",NA,"#weidel",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"leader","Jörg Meuthen",NA,"#jörgmeuthen",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"leader","Jörg Meuthen",NA,"#joergmeuthen",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"leader","Jörg Meuthen",NA,"#meuthen",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"parliamentary group","Alexander Gauland",NA,"#alexandergauland",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"parliamentary group","Alexander Gauland",NA,"#gauland",NA,NA,NA
NA,"Political Actors",NA,"Die Linke",NA,"leader, candidate","Janine Wissler",NA,"#janinewissler",NA,NA,NA
NA,"Political Actors",NA,"Die Linke",NA,"leader, candidate","Janine Wissler",NA,"#wissler",NA,NA,NA
NA,"Political Actors",NA,"Die Linke",NA,"candidate","Dietmar Bartsch",NA,"#dietmarbartsch",NA,NA,NA
NA,"Political Actors",NA,"Die Linke",NA,"candidate","Dietmar Bartsch",NA,"#bartsch",NA,NA,NA
NA,"Political Actors",NA,"Die Linke",NA,"leader","Susanne Hennig-Wellsow",NA,"#susannehennig-wellsow",NA,NA,NA
NA,"Political Actors",NA,"Die Linke",NA,"leader","Susanne Hennig-Wellsow",NA,"#susannehennigwellsow",NA,NA,NA
NA,"Political Actors",NA,"Die Linke",NA,"leader","Susanne Hennig-Wellsow",NA,"#hennig-wellsow",NA,NA,NA
NA,"Political Actors",NA,"Die Linke",NA,"leader","Susanne Hennig-Wellsow",NA,"#hennigwellsow",NA,NA,NA
NA,"Political Actors",NA,"Die Linke",NA,"governor thüringen","Bodo Ramelow",NA,"#bodoramelow",NA,NA,NA
NA,"Political Actors",NA,"Die Linke",NA,"governor thüringen","Bodo Ramelow",NA,"#ramelow",NA,NA,NA
NA,"Parties",NA,"CDU",NA,NA,NA,NA,"#cdu",NA,NA,NA
NA,"Parties",NA,"CDU",NA,NA,NA,NA,"#christdemokraten",NA,NA,NA
NA,"Parties",NA,"CDU",NA,NA,NA,NA,"#christdemokrat",NA,NA,NA
NA,"Parties",NA,"CDU",NA,NA,NA,"negative","#cdukorruption",NA,"Spähnchen Schlau ist ein element des #Lobbyismus bzw. der #CDUKorruption (Hastag recycled aber passt halt)... d.h. wenn der Typ weg ist, kommt ein anderer der das Selbe macht. #ePA soll Zwang werden, Lobbyismus & ""Wissenschaft"" im Schulterschluss gegen UNabh. Menschen ","https://twitter.com/AnkaruG/status/1414588614579834886"
NA,"Parties",NA,"CDU",NA,NA,NA,"negative","#korruptioncdu",NA,NA,NA
NA,"Parties",NA,"CDU",NA,NA,NA,"negative","#cdurausausderregierung",NA,NA,NA
NA,"Parties",NA,"CDU",NA,NA,NA,"negative","#fckcdu",NA,NA,NA
NA,"Parties",NA,"CDU",NA,NA,NA,"negative","#cduunter20prozent",NA,NA,NA
NA,"Parties",NA,"CDU",NA,NA,NA,"negative","#schwarzerfilz",NA,NA,NA
NA,"Parties",NA,"CSU",NA,NA,NA,NA,"#csu",NA,NA,NA
NA,"Parties",NA,"CDU","CSU",NA,NA,NA,"#union",NA,NA,NA
NA,"Parties",NA,"CDU","CSU",NA,NA,NA,"#deutschlandgemeinsammachen",NA,NA,NA
NA,"Parties",NA,"CDU","CSU",NA,NA,NA,"#cducsu",NA,NA,NA
NA,"Parties",NA,"CDU","CSU",NA,NA,NA,"#werteunion",NA,NA,NA
NA,"Parties",NA,"CDU","CSU",NA,NA,"negative","#niemehrcducsu",NA,NA,NA
NA,"Parties",NA,"SPD",NA,NA,NA,NA,"#spd",NA,NA,NA
NA,"Parties",NA,"SPD",NA,NA,NA,NA,"#sozialdemokraten",NA,NA,NA
NA,"Parties",NA,"SPD",NA,NA,NA,NA,"#sozialdemokrat",NA,NA,NA
NA,"Parties",NA,"SPD",NA,NA,NA,NA,"#sozialepolitikfuerdich",NA,NA,NA
NA,"Parties",NA,"SPD",NA,NA,NA,"negative","#niewiederspd",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"#diegrünen",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"#diegruenen",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"#grünen",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"#gruenen",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"#grüne",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"#gruene",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"""#grün*innen""",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"""#guen*innen""",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"#bündnisgrüne",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"#buendnisgruene",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"#mitdir",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"#gruenejugend",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,"positive","#5stimmengrün",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,"positive","#wahlkampffürdiegrünen",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,"negative","#grueneverhindern",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,"negative","#verbotspartei",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,"negative","#verbotspolitik",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,"negative","#träumerpartei",NA,NA,NA
NA,"Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,"negative","#diegrünenunwählbar",NA,NA,NA
NA,"Parties",NA,"FDP",NA,NA,NA,NA,"#fdp",NA,NA,NA
NA,"Parties",NA,"FDP",NA,NA,NA,NA,"#freiedemokraten",NA,NA,NA
NA,"Parties",NA,"FDP",NA,NA,NA,NA,"#dieliberalen",NA,NA,NA
NA,"Parties",NA,"FDP",NA,NA,NA,NA,"#vielzutun",NA,NA,NA
NA,"Parties",NA,"FDP",NA,NA,NA,NA,"#viergutejahre",NA,NA,NA
NA,"Parties",NA,"FDP",NA,NA,NA,"negative","#niemandbrauchtdiefdp",NA,NA,NA
NA,"Parties",NA,"FDP",NA,NA,NA,NA,"#niemehrfdp",NA,NA,NA
NA,"Parties",NA,"AfD",NA,NA,NA,NA,"#afd",NA,NA,NA
NA,"Parties",NA,"AfD",NA,NA,NA,NA,"#alternativefürdeutschland",NA,NA,NA
NA,"Parties",NA,"AfD",NA,NA,NA,NA,"#alternativefuerdeutschland",NA,NA,NA
NA,"Parties",NA,"AfD",NA,NA,NA,NA,"#deutschlandabernormal",NA,NA,NA
NA,"Parties",NA,"AfD",NA,NA,NA,NA,"#afdimbundestag",NA,NA,NA
NA,"Parties",NA,"AfD",NA,NA,NA,"positive","#afdwirkt",NA,NA,NA
NA,"Parties",NA,"AfD",NA,NA,NA,NA,"#mutzudeutschland",NA,NA,NA
NA,"Parties",NA,"AfD",NA,NA,NA,"negative","#noafd",NA,NA,NA
NA,"Parties",NA,"AfD",NA,NA,NA,"negative","#afdrausausdenparlamenten",NA,NA,NA
NA,"Parties",NA,"AfD",NA,NA,NA,"negative","#fckafd",NA,NA,NA
NA,"Parties",NA,"AfD",NA,NA,NA,"negative","#afdbeobachtungjetzt",NA,NA,NA
NA,"Parties",NA,"AfD",NA,NA,NA,"negative","#afdverfassungsfeindlich",NA,NA,NA
NA,"Parties",NA,"Die Linke",NA,NA,NA,NA,"#dielinke",NA,NA,NA
NA,"Parties",NA,"Die Linke",NA,NA,NA,NA,"#linkspartei",NA,NA,NA
NA,"Parties",NA,"Die Linke",NA,NA,NA,NA,"#sozialklimagerecht",NA,NA,NA
NA,"Parties",NA,"Die Linke",NA,NA,NA,NA,"#machtdaslandgerecht",NA,NA,NA
NA,"Parties",NA,"Die Linke",NA,NA,NA,"positive","#besserdielinke",NA,NA,NA
NA,"Parties",NA,"Die Linke",NA,NA,NA,"positive","#linkswirkt",NA,NA,NA
"12.07.2021","Election",NA,"Election general",NA,NA,NA,NA,"#bundeswahlausschuss",NA,"#Bundeswahlausschuss entscheidet: „Piratenpartei Deutschland“ ist als Partei zur #btw21 anerkannt.","https://twitter.com/Wahlleiter_Bund/status/1413401312365092865"
"12.07.2021","Parties",NA,"FDP",NA,NA,NA,NA,"#denkenwirneu",NA,"So darf ein Tag beginnen. Nur noch 0,5% bis zur psychologisch wichtigen Zweistelligkeit. #SPD, wir kommen! #fdp #denkenwirneu #insa","https://twitter.com/IchBinIronman/status/1216971051630055424"
"12.07.2021","Election",NA,"Election Process",NA,NA,NA,NA,"#koalitionsaussage",NA,"#DenkenWirNeu: Wir werden ohne #Koalitionsaussage in die Bundestagswahl gehen. #BTW17 #btw","https://twitter.com/fdp/status/884326656449679361"
"12.07.2021","Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,"negative","#baerbockjetzterstrecht",NA,"Lasst uns endlich über Inhalte reden. #BaerbockJetztErstRecht","https://twitter.com/MaxLinke_/status/1411970295238377476"
"12.07.2021","Parties",NA,"Bündnis 90/Die Grünen",NA,NA,NA,NA,"#grünewelle",NA,"Was sind das nur für Trolle unter grünen Tweets? Alles Millionäre? Finden die Entlastungen für sich nicht gut? Wie kann man was gegen sauber Luft, weniger Lärm, gesunde Nahrung, keine Tierquälerei etc. haben? Völlig sinnentleert diese Hater Grinsendes Gesicht mit lächelnden Augen#grüneWelle","https://twitter.com/h_odiug/status/1413082294244548616"
"12.07.2021","Political Actors",NA,"CDU","CSU",NA,"Armin Laschet","negative","#laschetluegt",NA,"Laschet sagt er wolle die Klimaziele erreichen. Dafür wäre in NRW mind. eine Verdreifachung des Zubaus notwendig. Durch die neue gesetzliche Abstandsregel können jedoch 85% aller Windräder nicht erneuert werden. Klimaschutz durch Ausbremsen der Erneuerbaren. #LaschetLuegt","https://twitter.com/JGemassmer/status/1414533622510538756"
"12.07.2021","Political Actors",NA,"CDU","CSU",NA,"Armin Laschet","negative","#laschetkneift",NA,"Laschet ist ein Wendehals und ein Blender. Er würde momentan alles versprechen, was Stimmen bringt. Leute, bitte tut mir den Gefallen und macht den nicht zum Kanzler. #LaschetLuegt #LaschetKneift #LaschetVerhindern","https://twitter.com/uzantoelmajenco/status/1414482413166727171"
"13.07.2021","Political Actors",NA,"CDU","CSU",NA,NA,NA,"#jungeunion",NA,NA,NA
"13.07.2021","Event",NA,NA,NA,NA,NA,NA,"#MSCdebate",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,"negative","#nazi",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,"ambivalent","#antifa",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,"negative","#wutbürger",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,"negative","#gutmensch",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,"negative","#ökö",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,NA,"#identitäre",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,NA,"#dritterweg",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,NA,"#IIIweg",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,"negative","#lügenpresse",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,NA,"#allefürsKlima",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,NA,"#Fridaysforfuture",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,NA,"#UproottheSystem","global action day by Fridays for Future on September 24, 2021",NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,NA,"#Kohleausstieg",NA,NA,NA
"13.07.2021",NA,NA,NA,NA,NA,NA,NA,"#Klimakrise","already in Issue list (tab3)",NA,NA
"21.07.2021",NA,NA,NA,NA,NA,NA,NA,"#Katastrophe",NA,NA,NA
"21.07.2021",NA,NA,NA,NA,NA,NA,NA,"#Hochwasser",NA,NA,NA
"21.07.2021",NA,NA,NA,NA,NA,NA,NA,"#Flutkatastrophe",NA,NA,NA
"21.07.2021",NA,NA,NA,NA,NA,NA,NA,"#Laschetlacht","Chancellor candidate Armin Laschet laughing in the background of an interview with Steinmeier during a visit at a site hit by the flooding",NA,NA
"21.07.2021","Culture&Sports",NA,NA,NA,NA,NA,NA,"#Olympia2020",NA,NA,NA
"21.07.2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"?",NA,NA,NA
